iter	Passed	Remaining
0	60	30110
1	60	15106
2	61	10125
3	61	7626
4	61	6112
5	61	5099
6	62	4379
7	62	3839
8	62	3414
9	62	3076
10	62	2800
11	63	2566
12	63	2372
13	63	2203
14	63	2060
15	63	1931
16	64	1821
17	64	1722
18	64	1632
19	64	1552
20	64	1479
21	65	1412
22	65	1353
23	65	1297
24	65	1246
25	65	1199
26	66	1156
27	66	1116
28	66	1079
29	66	1044
30	66	1010
31	67	981
32	67	953
33	67	927
34	67	901
35	68	877
36	68	853
37	68	832
38	68	814
39	69	795
40	69	777
41	69	758
42	69	741
43	69	725
44	70	709
45	70	695
46	70	681
47	70	666
48	70	652
49	71	639
50	71	627
51	71	615
52	71	603
53	71	592
54	71	581
55	72	571
56	72	562
57	72	552
58	72	543
59	72	534
60	73	525
61	73	517
62	73	508
63	73	501
64	73	493
65	73	485
66	74	478
67	74	471
68	74	464
69	74	458
70	74	451
71	74	444
72	74	438
73	75	432
74	75	426
75	75	421
76	75	416
77	76	412
78	76	407
79	77	404
80	77	399
81	77	394
82	77	389
83	77	385
84	77	380
85	78	375
86	78	371
87	78	367
88	78	363
89	78	359
90	79	355
91	79	351
92	79	348
93	79	344
94	79	341
95	80	337
96	80	334
97	80	330
98	80	327
99	80	323
100	81	320
101	81	317
102	81	313
103	81	310
104	81	307
105	82	304
106	82	302
107	82	299
108	82	296
109	82	293
110	83	291
111	83	288
112	83	285
113	83	284
114	84	281
115	84	278
116	84	276
117	84	273
118	84	271
119	84	268
120	85	266
121	85	264
122	85	261
123	85	259
124	85	257
125	86	255
126	86	253
127	86	251
128	86	249
129	86	247
130	87	245
131	87	243
132	87	241
133	87	239
134	87	237
135	87	235
136	88	233
137	88	231
138	88	229
139	88	227
140	88	225
141	88	224
142	89	222
143	89	220
144	89	219
145	89	217
146	89	215
147	90	214
148	90	212
149	90	211
150	90	209
151	91	208
152	91	206
153	91	205
154	91	203
155	91	202
156	92	201
157	92	199
158	92	198
159	92	196
160	92	195
161	93	194
162	93	192
163	93	191
164	93	189
165	93	188
166	93	187
167	94	185
168	94	184
169	94	183
170	94	182
171	94	180
172	95	179
173	95	178
174	95	177
175	95	176
176	95	174
177	96	173
178	96	172
179	96	171
180	96	170
181	96	169
182	97	168
183	97	167
184	97	166
185	97	165
186	97	163
187	98	162
188	98	161
189	98	160
190	98	159
191	99	159
192	99	158
193	99	157
194	100	156
195	100	155
196	100	154
197	100	153
198	100	152
199	100	151
200	101	150
201	101	149
202	101	148
203	101	147
204	101	146
205	102	145
206	102	144
207	102	143
208	102	143
209	102	142
210	103	141
211	103	140
212	103	139
213	104	139
214	104	138
215	104	137
216	104	136
217	104	135
218	104	134
219	105	133
220	105	133
221	105	132
222	105	131
223	106	130
224	106	130
225	106	129
226	106	128
227	107	127
228	107	127
229	107	126
230	107	125
231	107	124
232	108	123
233	108	123
234	108	122
235	108	121
236	108	120
237	109	120
238	109	119
239	109	118
240	109	118
241	110	117
242	110	116
243	110	116
244	110	115
245	110	114
246	111	113
247	111	113
248	111	112
249	111	111
250	111	111
251	112	110
252	112	109
253	112	109
254	112	108
255	113	107
256	113	107
257	113	106
258	113	105
259	114	105
260	114	104
261	114	104
262	114	103
263	115	102
264	115	102
265	115	101
266	115	100
267	115	100
268	115	99
269	116	98
270	116	98
271	116	97
272	116	96
273	116	96
274	116	95
275	117	95
276	117	94
277	117	93
278	117	93
279	117	92
280	117	91
281	118	91
282	118	90
283	118	90
284	118	89
285	118	88
286	119	88
287	119	87
288	119	87
289	119	86
290	119	86
291	120	85
292	120	84
293	120	84
294	120	83
295	120	83
296	121	82
297	121	82
298	121	81
299	122	81
300	122	80
301	122	80
302	122	79
303	122	79
304	123	78
305	123	78
306	123	77
307	123	77
308	123	76
309	124	76
310	124	75
311	124	74
312	124	74
313	124	73
314	125	73
315	125	72
316	125	72
317	126	72
318	126	71
319	126	71
320	127	70
321	127	70
322	127	70
323	128	69
324	128	69
325	128	68
326	129	68
327	129	67
328	129	67
329	129	66
330	130	66
331	130	65
332	130	65
333	130	64
334	131	64
335	131	64
336	131	63
337	131	63
338	131	62
339	132	62
340	132	61
341	132	61
342	132	60
343	132	60
344	133	59
345	133	59
346	133	58
347	133	58
348	133	57
349	134	57
350	134	56
351	134	56
352	134	56
353	134	55
354	135	55
