firmware_version,days_since_release,error_count
10.0.1,0,2
10.0.1,1,1
10.0.1,3,1
10.0.1,4,1
10.0.1,5,1
10.0.1,7,1
10.0.1,8,1
10.0.1,9,1
10.0.1,12,1
10.0.1,13,1
10.0.1,15,3
10.0.1,16,1
10.0.1,17,1
10.0.1,18,1
10.0.1,19,1
10.0.1,20,2
10.0.1,21,2
10.0.1,22,3
10.0.1,23,2
10.0.1,24,3
10.0.1,25,2
10.0.1,27,2
10.0.1,29,2
10.0.1,30,1
10.0.1,31,1
10.0.1,32,1
10.0.1,33,2
10.0.1,35,1
10.0.1,36,2
10.0.1,37,1
10.0.1,38,2
10.0.1,40,2
10.0.1,44,1
10.0.2,1,1
10.0.2,2,3
10.0.2,3,1
10.0.2,6,4
10.0.2,7,2
10.0.2,8,1
10.0.2,10,2
10.0.2,11,1
10.0.2,14,5
10.0.2,16,1
10.0.2,18,1
10.0.2,20,1
10.0.2,22,1
10.0.2,23,1
10.0.2,24,2
10.0.2,26,1
10.0.2,27,1
10.0.2,28,2
10.0.2,29,2
10.0.2,37,5
10.0.2,38,2
10.0.2,39,2
10.0.2,41,2
10.0.2,42,2
10.0.2,44,2
10.1.0,0,2
10.1.0,1,1
10.1.0,3,1
10.1.0,5,1
10.1.0,6,1
10.1.0,7,2
10.1.0,10,1
10.1.0,11,1
10.1.0,12,1
10.1.0,13,1
10.1.0,14,1
10.1.0,16,2
10.1.0,19,2
10.1.0,20,2
10.1.0,21,1
10.1.0,24,2
10.1.0,26,4
10.1.0,27,1
10.1.0,28,1
10.1.0,30,1
10.1.0,32,1
10.1.0,33,2
10.1.0,34,1
10.1.0,35,1
10.1.0,36,1
10.1.0,38,1
10.1.0,39,1
10.1.0,40,1
10.1.0,42,1
10.1.0,44,1
10.1.1,0,1
10.1.1,1,1
10.1.1,2,1
10.1.1,5,1
10.1.1,6,1
10.1.1,8,1
10.1.1,10,2
10.1.1,13,2
10.1.1,15,2
10.1.1,16,1
10.1.1,17,1
10.1.1,18,1
10.1.1,22,1
10.1.1,23,1
10.1.1,24,4
10.1.1,25,2
10.1.1,26,1
10.1.1,28,1
10.1.1,29,3
10.1.1,30,1
10.1.1,31,2
10.1.1,33,2
10.1.1,34,2
10.1.1,36,1
10.1.1,37,2
10.1.1,38,1
10.1.1,39,1
10.1.1,41,1
10.10.0,0,2
10.10.0,1,1
10.10.0,2,2
10.10.0,7,1
10.10.0,8,3
10.10.0,12,1
10.10.0,14,2
10.10.0,16,1
10.10.0,17,1
10.10.0,18,1
10.10.0,19,1
10.10.0,20,1
10.10.0,21,1
10.10.0,23,1
10.10.0,25,1
10.10.0,27,1
10.10.0,28,1
10.10.0,30,1
10.10.0,32,1
10.10.0,33,1
10.10.0,34,1
10.10.0,36,1
10.10.0,37,3
10.10.0,41,1
10.10.0,42,1
10.10.0,43,2
10.10.0,44,1
10.10.1,5,2
10.10.1,6,3
10.10.1,7,2
10.10.1,8,1
10.10.1,14,2
10.10.1,16,1
10.10.1,17,1
10.10.1,18,2
10.10.1,19,3
10.10.1,20,3
10.10.1,21,1
10.10.1,22,1
10.10.1,25,1
10.10.1,26,1
10.10.1,27,1
10.10.1,28,1
10.10.1,29,1
10.10.1,30,2
10.10.1,32,1
10.10.1,34,2
10.10.1,35,2
10.10.1,36,1
10.10.1,37,2
10.10.1,38,3
10.10.1,39,1
10.10.1,42,1
10.10.1,43,2
10.10.1,44,1
10.100.0,0,1
10.100.0,1,3
10.100.0,2,1
10.100.0,3,1
10.100.0,4,1
10.100.0,5,2
10.100.0,8,3
10.100.0,9,1
10.100.0,11,4
10.100.0,12,1
10.100.0,14,2
10.100.0,16,2
10.100.0,17,2
10.100.0,18,2
10.100.0,20,1
10.100.0,22,2
10.100.0,23,1
10.100.0,24,2
10.100.0,26,3
10.100.0,28,1
10.100.0,32,3
10.100.0,33,3
10.100.0,38,1
10.100.0,39,3
10.100.0,40,3
10.100.0,41,2
10.100.0,42,4
10.100.0,43,4
10.100.1,1,1
10.100.1,2,2
10.100.1,3,1
10.100.1,6,1
10.100.1,9,1
