device_id,firmware_version,timestamp,error_code,severity,model,region
DEV_0328,10.0.1,2024-03-02 00:00:00,ERR_NETWORK_101,low,Roku Ultra,NA
DEV_0420,10.0.1,2024-03-08 00:00:00,ERR_STREAM_101,high,Roku Streaming Stick+,LATAM
DEV_0463,10.0.1,2024-02-26 00:00:00,ERR_NETWORK_107,high,Roku Ultra,EU
DEV_0179,10.0.1,2024-02-16 00:00:00,ERR_UPDATE_104,low,Roku Ultra,LATAM
DEV_0338,10.0.1,2024-01-24 00:00:00,ERR_CRASH_104,low,Roku Premiere,LATAM
DEV_0357,10.0.1,2024-01-30 00:00:00,ERR_BOOT_109,medium,Roku Ultra,LATAM
DEV_0150,10.0.1,2024-02-24 00:00:00,ERR_BOOT_107,low,Roku Streaming Stick+,NA
DEV_0305,10.0.1,2024-03-08 00:00:00,ERR_STREAM_102,low,Roku Express,EU
DEV_0325,10.0.1,2024-01-30 00:00:00,ERR_NETWORK_103,low,Roku Premiere,LATAM
DEV_0316,10.0.1,2024-03-06 00:00:00,ERR_UPDATE_104,high,Roku Premiere,EU
DEV_0221,10.0.1,2024-02-14 00:00:00,ERR_STREAM_108,critical,Roku TV,LATAM
DEV_0009,10.0.1,2024-02-08 00:00:00,ERR_UPDATE_103,medium,Roku Premiere,NA
DEV_0418,10.0.1,2024-02-23 00:00:00,ERR_STREAM_100,medium,Roku Streaming Stick+,EU
DEV_0026,10.0.1,2024-02-14 00:00:00,ERR_CRASH_105,low,Roku TV,NA
DEV_0013,10.0.1,2024-02-21 00:00:00,ERR_UPDATE_109,high,Roku Ultra,EU
DEV_0316,10.0.1,2024-02-22 00:00:00,ERR_BOOT_102,medium,Roku Premiere,LATAM
DEV_0206,10.0.1,2024-02-02 00:00:00,ERR_BOOT_106,high,Roku Express,APAC
DEV_0055,10.0.1,2024-02-15 00:00:00,ERR_BOOT_107,high,Roku Streaming Stick+,EU
DEV_0411,10.0.1,2024-02-20 00:00:00,ERR_CRASH_101,medium,Roku Premiere,EU
DEV_0294,10.0.1,2024-02-12 00:00:00,ERR_STREAM_100,medium,Roku Streaming Stick+,EU
DEV_0459,10.0.1,2024-02-28 00:00:00,ERR_CRASH_102,critical,Roku Ultra,LATAM
DEV_0154,10.0.1,2024-02-07 00:00:00,ERR_NETWORK_102,low,Roku Ultra,EU
DEV_0274,10.0.1,2024-01-29 00:00:00,ERR_UPDATE_101,low,Roku TV,APAC
DEV_0475,10.0.1,2024-03-14 00:00:00,ERR_UPDATE_103,low,Roku Streaming Stick+,NA
DEV_0030,10.0.1,2024-02-14 00:00:00,ERR_NETWORK_103,medium,Roku Express,APAC
DEV_0087,10.0.1,2024-03-06 00:00:00,ERR_CRASH_108,medium,Roku Premiere,LATAM
DEV_0112,10.0.1,2024-02-24 00:00:00,ERR_BOOT_102,medium,Roku TV,APAC
DEV_0420,10.0.1,2024-03-03 00:00:00,ERR_NETWORK_105,medium,Roku Premiere,LATAM
DEV_0270,10.0.1,2024-03-07 00:00:00,ERR_CRASH_102,low,Roku Express,LATAM
DEV_0010,10.0.1,2024-02-18 00:00:00,ERR_BOOT_100,low,Roku Express,NA
DEV_0391,10.0.1,2024-01-31 00:00:00,ERR_NETWORK_102,medium,Roku Streaming Stick+,NA
DEV_0368,10.0.1,2024-01-27 00:00:00,ERR_CRASH_106,medium,Roku TV,APAC
DEV_0004,10.0.1,2024-03-10 00:00:00,ERR_BOOT_100,medium,Roku Streaming Stick+,NA
DEV_0363,10.0.1,2024-01-24 00:00:00,ERR_STREAM_107,low,Roku Express,EU
DEV_0078,10.0.1,2024-02-29 00:00:00,ERR_CRASH_104,low,Roku Streaming Stick+,APAC
DEV_0096,10.0.1,2024-01-24 00:00:00,ERR_BOOT_100,medium,Roku Premiere,NA
DEV_0031,10.0.1,2024-02-21 00:00:00,ERR_NETWORK_109,medium,Roku Premiere,EU
DEV_0237,10.0.1,2024-02-17 00:00:00,ERR_CRASH_100,high,Roku Express,APAC
DEV_0009,10.0.1,2024-02-03 00:00:00,ERR_CRASH_104,medium,Roku Express,NA
DEV_0498,10.0.1,2024-02-26 00:00:00,ERR_STREAM_108,low,Roku Ultra,EU
DEV_0077,10.0.1,2024-02-19 00:00:00,ERR_UPDATE_103,high,Roku Streaming Stick+,APAC
DEV_0285,10.0.1,2024-02-20 00:00:00,ERR_BOOT_107,low,Roku TV,APAC
DEV_0255,10.0.1,2024-02-06 00:00:00,ERR_STREAM_108,low,Roku Ultra,APAC
DEV_0037,10.0.1,2024-01-28 00:00:00,ERR_CRASH_101,low,Roku Express,APAC
DEV_0156,10.0.1,2024-03-03 00:00:00,ERR_NETWORK_105,low,Roku Express,EU
DEV_0327,10.0.1,2024-01-27 00:00:00,ERR_BOOT_100,medium,Roku TV,LATAM
DEV_0112,10.0.1,2024-02-19 00:00:00,ERR_STREAM_100,low,Roku Express,APAC
DEV_0004,10.0.1,2024-02-23 00:00:00,ERR_BOOT_109,low,Roku Express,EU
DEV_0071,10.0.1,2024-01-27 00:00:00,ERR_BOOT_107,medium,Roku Premiere,LATAM
DEV_0395,10.0.1,2024-02-22 00:00:00,ERR_CRASH_104,high,Roku Ultra,EU
DEV_0228,10.0.1,2024-01-26 00:00:00,ERR_BOOT_103,high,Roku Premiere,LATAM
DEV_0361,10.0.1,2024-03-05 00:00:00,ERR_UPDATE_105,high,Roku Ultra,APAC
DEV_0167,10.0.1,2024-02-23 00:00:00,ERR_BOOT_101,low,Roku TV,NA
DEV_0215,10.0.1,2024-03-10 00:00:00,ERR_STREAM_105,high,Roku TV,NA
DEV_0438,10.0.1,2024-02-04 00:00:00,ERR_CRASH_109,low,Roku Express,NA
DEV_0151,10.0.1,2024-03-01 00:00:00,ERR_UPDATE_109,medium,Roku TV,LATAM
DEV_0243,10.0.1,2024-02-21 00:00:00,ERR_NETWORK_106,low,Roku Premiere,EU
DEV_0226,10.0.1,2024-02-13 00:00:00,ERR_CRASH_109,medium,Roku TV,APAC
DEV_0220,10.0.1,2024-02-01 00:00:00,ERR_UPDATE_105,low,Roku Premiere,EU
DEV_0412,10.0.1,2024-01-31 00:00:00,ERR_CRASH_106,low,Roku TV,EU
DEV_0088,10.0.1,2024-03-07 00:00:00,ERR_STREAM_108,high,Roku Ultra,APAC
DEV_0221,10.0.1,2024-03-08 00:00:00,ERR_NETWORK_108,medium,Roku Ultra,APAC
DEV_0425,10.0.2,2024-03-30 00:00:00,ERR_BOOT_100,low,Roku Streaming Stick+,LATAM
DEV_0054,10.0.2,2024-03-16 00:00:00,ERR_BOOT_103,low,Roku Ultra,EU
DEV_0090,10.0.2,2024-03-13 00:00:00,ERR_UPDATE_109,high,Roku Express,EU
