ticket_id,device_id,firmware_version,created_at,error_code,issue_type,resolution,rma_issued
TKT_927549,DEV_0333,10.15.2,2028-03-26 00:00:00,ERR_STREAM_101,hardware,workaround,0
TKT_599524,DEV_0183,10.55.12,2041-11-19 00:00:00,ERR_NETWORK_100,connectivity,fixed,0
TKT_968140,DEV_0354,10.122.0,2062-09-06 00:00:00,ERR_CRASH_108,connectivity,no_issue,0
TKT_805470,DEV_0244,10.38.7,2035-10-01 00:00:00,ERR_STREAM_109,crash,workaround,0
TKT_570685,DEV_0361,10.184.7,2084-03-23 00:00:00,ERR_UPDATE_108,hardware,workaround,0
TKT_879810,DEV_0481,10.166.0,2077-01-21 00:00:00,ERR_NETWORK_106,update_failure,fixed,0
TKT_281781,DEV_0434,10.61.1,2043-07-03 00:00:00,ERR_BOOT_108,crash,workaround,0
TKT_873371,DEV_0157,10.72.1,2047-01-14 00:00:00,ERR_BOOT_102,hardware,workaround,0
TKT_132815,DEV_0226,10.117.1,2061-05-28 00:00:00,ERR_UPDATE_108,performance,no_issue,0
TKT_449198,DEV_0250,10.40.8,2036-06-14 00:00:00,ERR_UPDATE_104,crash,no_issue,0
TKT_347872,DEV_0199,10.110.10,2059-03-10 00:00:00,ERR_STREAM_104,connectivity,workaround,0
TKT_348735,DEV_0003,10.105.1,2056-08-27 00:00:00,ERR_UPDATE_101,hardware,rma,1
TKT_696722,DEV_0255,10.4.3,2024-10-17 00:00:00,ERR_STREAM_101,update_failure,no_issue,0
TKT_908577,DEV_0040,10.46.0,2037-12-23 00:00:00,ERR_NETWORK_107,connectivity,workaround,0
TKT_217710,DEV_0494,10.32.3,2034-04-10 00:00:00,ERR_BOOT_104,connectivity,fixed,0
TKT_199573,DEV_0265,10.194.12,2087-07-21 00:00:00,ERR_NETWORK_105,performance,workaround,0
TKT_160082,DEV_0205,10.4.3,2024-10-23 00:00:00,ERR_STREAM_104,hardware,fixed,0
TKT_336784,DEV_0490,10.123.4,2063-01-15 00:00:00,ERR_STREAM_101,update_failure,rma,1
TKT_433308,DEV_0310,10.71.9,2046-11-25 00:00:00,ERR_STREAM_102,update_failure,no_issue,0
