firmware_version,risk_score,avg_device_age_days,older_device_flag,monitoring_priority,monitoring_tier
10.7.5,0.9799545223105494,623.264341532091,1,0.9859681656173844,Immediate Monitoring
10.5.1,0.97794272943675,633.5425332394777,1,0.984559910605725,Immediate Monitoring
10.10.0,0.9685861360716136,669.7681165847006,1,0.9780102952501295,Immediate Monitoring
10.10.2,0.9619694979489576,622.1756983491903,1,0.9733786485642704,Immediate Monitoring
10.5.0,0.930101021791212,699.6623433009012,1,0.9510707152538485,Immediate Monitoring
10.4.0,0.9798923650790212,395.62777741646056,0,0.6859246555553148,Enhanced Monitoring
10.5.4,0.972604557059322,259.7834580431874,0,0.6808231899415254,Enhanced Monitoring
10.7.11,0.9709579744568174,415.2795766395187,0,0.6796705821197722,Enhanced Monitoring
10.2.0,0.9613257522147473,400.4943055997591,0,0.672928026550323,Enhanced Monitoring
10.4.1,0.9084186682774956,447.3425586023911,0,0.6358930677942469,Standard Monitoring
10.0.4,0.6206770585260631,340.0878689318216,0,0.43447394096824415,Standard Monitoring
10.7.6,0.142841976224256,743.7670711122792,1,0.3999893833569792,Standard Monitoring
10.7.8,0.1414505499403892,742.009483326225,1,0.39901538495827243,Standard Monitoring
10.6.1,0.495312602910434,399.0809070444559,0,0.34671882203730375,Standard Monitoring
10.7.1,0.4801257322545972,151.53541915471538,0,0.336088012578218,Standard Monitoring
10.6.6,0.0416912849621274,610.8897698793501,1,0.32918389947348914,Standard Monitoring
10.4.2,0.030945791802563,691.0722405392021,1,0.32166205426179406,Standard Monitoring
10.6.5,0.0211326819426207,747.6003228432354,1,0.31479287735983447,Standard Monitoring
10.7.3,0.019685694770393,649.9411417006145,1,0.31377998633927506,Standard Monitoring
10.5.13,0.0193680859887995,618.8507604563462,1,0.31355766019215964,Standard Monitoring
10.0.1,0.0162289873402842,702.2191418354597,1,0.3113602911381989,Standard Monitoring
10.5.11,0.0127179474776422,669.0208705427743,1,0.3089025632343495,Standard Monitoring
10.5.8,0.0076437596522469,705.5806661560948,1,0.30535063175657284,Standard Monitoring
10.1.0,0.2012325804136705,467.0259993794463,0,0.14086280628956935,Standard Monitoring
10.7.10,0.1682544845313193,417.5832810764777,0,0.11777813917192351,Standard Monitoring
10.10.1,0.1594967871150446,417.3010745383022,0,0.11164775098053122,Standard Monitoring
10.5.3,0.1176105939379198,567.3129811570241,0,0.08232741575654386,Standard Monitoring
10.8.2,0.0793970922738717,354.0461908106893,0,0.05557796459171019,Standard Monitoring
10.5.2,0.0443443012446561,478.6546129993596,0,0.031041010871259267,Standard Monitoring
10.5.7,0.0261819197242838,147.6045563944206,0,0.01832734380699866,Standard Monitoring
10.3.0,0.020629792563204,170.94339585025511,0,0.014440854794242798,Standard Monitoring
10.5.10,0.0206240748949474,177.2178294506651,0,0.014436852426463179,Standard Monitoring
10.9.0,0.0198398573024218,106.03149363337155,0,0.013887900111695257,Standard Monitoring
10.5.9,0.0186419508651821,315.61934906162196,0,0.01304936560562747,Standard Monitoring
10.7.4,0.0162565114458693,227.71816991410097,0,0.01137955801210851,Standard Monitoring
10.5.12,0.0125234449062397,505.56804143747104,0,0.008766411434367788,Standard Monitoring
10.8.1,0.012496021619841,317.65123195942306,0,0.0087472151338887,Standard Monitoring
10.6.2,0.0116032739909825,512.6324307146454,0,0.00812229179368775,Standard Monitoring
10.5.5,0.0102457311549542,524.8129870475225,0,0.007172011808467939,Standard Monitoring
10.5.6,0.009456054814827,520.2195255609284,0,0.006619238370378899,Standard Monitoring
10.8.0,0.0090010917481606,334.9142832753031,0,0.00630076422371242,Standard Monitoring
10.6.4,0.0086802106120257,369.4296985853161,0,0.00607614742841799,Standard Monitoring
10.7.0,0.0073059603644108,548.3539807637437,0,0.00511417225508756,Standard Monitoring
10.7.9,0.0071259223037055,162.16644646414568,0,0.004988145612593849,Standard Monitoring
10.7.2,0.0068363271705926,341.2431013584313,0,0.0047854290194148195,Standard Monitoring
10.0.3,0.0062062757705389,336.31931139662805,0,0.00434439303937723,Standard Monitoring
10.6.0,0.006110445418983,237.51593830878625,0,0.0042773117932881,Standard Monitoring
10.0.2,0.0056183394299664,426.9549650516743,0,0.00393283760097648,Standard Monitoring
10.6.3,0.0055923677492756,107.43576674149126,0,0.003914657424492919,Standard Monitoring
10.7.7,0.0033558639296273,214.09652212353944,0,0.00234910475073911,Standard Monitoring
