iter	Passed	Remaining
0	0	320
1	0	280
2	0	259
3	0	239
4	1	236
5	1	226
6	1	220
7	1	209
8	1	207
9	2	205
10	2	202
11	2	204
12	2	204
13	2	202
14	3	199
15	3	194
16	3	195
17	3	194
18	3	194
19	3	190
20	4	190
21	4	190
22	4	189
23	4	187
24	4	186
25	4	187
26	5	185
27	5	185
28	5	190
29	5	190
30	6	190
31	6	190
32	6	190
33	6	189
34	6	189
35	7	188
36	7	188
37	7	189
38	7	189
39	7	189
40	8	190
41	8	190
42	8	189
43	8	189
44	8	188
45	9	188
46	9	189
47	9	188
48	9	187
49	9	186
50	9	184
51	10	183
52	10	183
53	10	183
54	10	186
55	11	185
56	11	185
57	11	185
58	11	185
59	11	186
60	12	186
61	12	185
62	12	184
63	12	184
64	12	182
65	12	183
66	13	183
67	13	183
68	13	183
69	13	182
70	14	184
71	14	184
72	14	184
73	14	184
74	14	184
75	15	183
76	15	183
77	15	183
78	15	183
79	16	186
80	16	186
81	16	184
82	16	183
83	16	184
84	17	183
85	17	183
86	17	183
87	17	183
88	17	183
89	18	182
90	18	182
91	18	181
92	18	181
93	18	181
94	19	181
95	19	183
96	19	182
97	19	182
98	20	182
99	20	183
100	20	183
101	20	183
102	21	183
103	21	182
104	21	182
105	21	182
106	21	181
107	21	181
108	22	181
109	22	180
110	22	180
111	22	180
112	23	180
113	23	180
114	23	179
115	23	179
116	23	180
117	24	180
118	24	179
119	24	180
120	24	180
121	24	179
122	25	179
123	25	179
124	25	179
125	25	179
126	26	178
127	26	178
128	26	177
129	26	177
130	26	177
131	26	177
132	27	177
133	27	176
134	27	176
135	27	176
136	27	176
137	28	176
138	28	176
139	28	176
140	28	176
141	29	176
142	29	175
143	29	175
144	29	175
145	29	174
146	30	174
147	30	174
148	30	174
149	30	173
150	30	173
151	31	173
152	31	173
153	31	173
154	31	172
155	31	172
156	32	172
157	32	171
158	32	171
159	32	171
160	32	171
161	33	171
162	33	170
163	33	170
164	33	170
165	33	170
166	34	170
167	34	170
168	34	169
169	34	169
170	34	169
171	35	169
172	35	169
173	35	169
174	35	169
175	36	169
176	36	169
177	36	168
178	36	168
179	36	168
180	37	167
181	37	167
182	37	167
183	37	167
184	37	167
185	38	166
186	38	166
187	38	166
188	38	165
189	38	165
190	39	165
191	39	164
192	39	164
193	39	164
194	39	164
195	39	163
196	40	163
197	40	163
198	40	162
199	40	162
200	40	162
201	41	162
202	41	162
203	41	162
204	41	161
205	42	162
206	42	161
207	42	161
208	42	161
209	42	161
210	43	161
211	43	160
212	43	160
213	43	160
214	43	160
215	44	160
216	44	160
217	44	160
218	44	160
219	45	160
220	45	160
221	45	159
222	45	159
223	46	159
224	46	159
225	46	158
226	46	158
227	46	158
228	47	158
229	47	158
230	47	157
231	47	157
232	47	157
233	48	157
234	48	156
235	48	156
236	48	156
237	48	156
238	49	156
239	49	155
240	49	155
241	49	155
242	49	155
243	50	155
244	50	154
245	50	155
246	50	155
247	51	154
248	51	154
249	51	154
250	51	154
251	51	153
252	51	153
253	52	153
254	52	152
255	52	152
256	52	152
257	52	152
258	53	152
259	53	152
260	53	151
261	53	152
262	54	152
263	54	152
264	54	151
265	54	151
266	55	151
267	55	151
268	55	151
269	55	150
270	56	150
271	56	150
272	56	150
273	56	150
274	57	150
275	57	150
276	57	150
277	57	150
278	58	150
279	58	149
280	58	149
281	58	149
282	59	149
283	59	149
284	59	149
285	59	148
286	59	148
287	60	148
288	60	148
289	60	148
290	60	147
291	60	147
292	61	147
293	61	147
294	61	146
295	61	146
296	61	146
297	62	146
298	62	145
299	62	145
300	62	145
301	62	145
302	62	144
303	63	144
304	63	144
305	63	143
306	63	143
307	63	143
308	64	143
309	64	143
310	64	142
311	64	142
312	64	142
313	65	142
314	65	142
315	65	142
316	66	142
317	66	142
318	66	141
319	66	141
320	66	141
321	67	141
322	67	140
323	67	140
324	67	140
325	67	140
326	67	139
327	68	139
328	68	139
329	68	139
330	68	138
331	68	138
332	69	138
333	69	138
334	69	138
335	69	137
336	69	137
337	70	137
338	70	137
339	70	136
340	70	136
341	71	136
342	71	136
343	71	136
344	71	136
345	71	135
346	72	135
347	72	135
348	72	135
349	72	135
350	73	135
351	73	134
352	73	134
353	74	135
354	74	134
355	74	134
356	74	134
357	74	134
358	74	133
359	75	133
360	75	133
361	75	133
362	75	132
363	75	132
364	76	132
365	76	132
366	76	131
367	76	131
368	76	131
369	76	131
370	77	130
371	77	130
372	77	130
373	77	130
374	78	130
375	78	129
376	78	129
377	78	129
378	78	129
379	79	129
380	79	129
381	79	129
382	80	129
383	80	129
384	80	128
385	80	128
386	81	128
387	81	128
388	81	128
389	81	127
390	81	127
391	82	127
392	82	126
393	82	126
394	82	126
395	82	126
396	83	126
397	83	125
398	83	125
399	83	125
400	83	125
401	83	124
402	84	124
403	84	124
404	84	124
405	84	123
406	84	123
407	85	123
408	85	123
409	85	123
410	85	122
411	85	122
412	85	122
413	86	121
414	86	121
415	86	121
416	86	121
417	86	121
418	87	120
419	87	120
420	87	120
421	87	120
422	88	120
423	88	119
424	88	119
425	88	119
426	89	119
427	89	119
428	89	119
429	89	119
430	90	118
431	90	118
432	90	118
433	90	118
434	90	117
435	90	117
436	91	117
437	91	117
438	91	116
439	91	116
440	91	116
441	92	116
442	92	115
443	92	115
444	92	115
445	92	115
446	92	114
447	92	114
448	93	114
449	93	113
450	93	113
451	93	113
452	93	113
453	93	113
454	94	112
455	94	112
456	94	112
457	94	112
458	94	111
459	95	111
460	95	111
461	95	111
462	95	110
463	95	110
464	96	110
465	96	110
466	96	110
467	96	109
468	96	109
469	96	109
470	97	109
471	97	108
472	97	108
473	97	108
474	97	108
475	97	107
476	98	107
477	98	107
478	98	107
479	98	106
480	98	106
481	98	106
482	99	106
483	99	105
484	99	105
485	99	105
486	99	105
487	99	104
488	100	104
489	100	104
490	100	104
491	100	103
492	100	103
493	100	103
494	101	103
495	101	102
496	101	102
497	101	102
498	101	102
499	102	102
500	102	101
501	102	101
502	102	101
503	102	101
504	103	101
505	103	100
506	103	100
507	103	100
508	103	100
509	103	99
510	104	99
511	104	99
512	104	99
513	104	98
514	104	98
515	104	98
516	105	98
517	105	98
518	105	97
519	105	97
520	105	97
521	106	97
522	106	96
523	106	96
524	106	96
525	106	96
526	106	95
527	107	95
528	107	95
529	107	95
530	107	95
531	107	94
532	108	94
533	108	94
534	108	94
535	108	94
536	108	93
537	109	93
538	109	93
539	109	93
540	109	93
541	109	92
542	110	92
543	110	92
544	110	92
545	110	92
546	111	91
547	111	91
548	111	91
549	111	91
550	111	91
551	112	90
552	112	90
553	112	90
554	112	90
555	112	90
556	113	89
557	113	89
558	113	89
559	113	89
560	113	89
561	114	89
562	114	88
563	114	88
564	114	88
565	114	88
566	115	87
567	115	87
568	115	87
569	115	87
570	116	87
571	116	87
572	116	86
573	116	86
574	116	86
575	117	86
576	117	85
577	117	85
578	117	85
579	117	85
580	118	85
581	118	84
582	118	84
583	118	84
584	118	84
585	119	84
586	119	83
587	119	83
588	119	83
589	120	83
590	120	83
591	120	83
592	120	82
593	120	82
594	121	82
595	121	82
596	121	82
597	121	81
598	122	81
599	122	81
600	122	81
601	122	81
602	122	80
603	123	80
604	123	80
605	123	80
606	123	80
607	123	79
608	124	79
609	124	79
610	124	79
611	124	79
612	125	78
613	125	78
614	125	78
615	125	78
616	125	78
617	126	77
618	126	77
619	126	77
620	126	77
621	126	77
622	127	76
623	127	76
624	127	76
625	127	76
626	127	76
627	128	75
628	128	75
629	128	75
630	128	75
631	128	75
632	129	74
633	129	74
634	129	74
635	129	74
636	130	74
637	130	73
638	130	73
639	130	73
640	130	73
641	131	73
642	131	72
643	131	72
644	131	72
645	132	72
646	132	72
647	132	71
648	132	71
649	133	71
650	133	71
651	134	71
652	134	71
653	134	71
654	134	71
655	135	70
656	135	70
657	135	70
658	135	70
659	135	70
660	136	69
661	136	69
662	136	69
663	136	69
664	136	68
665	137	68
666	137	68
667	137	68
668	137	68
669	137	67
670	138	67
671	138	67
672	138	67
673	138	67
674	139	66
675	139	66
676	139	66
677	139	66
678	139	66
679	140	65
680	140	65
681	140	65
682	140	65
683	140	65
684	141	64
685	141	64
686	141	64
687	141	64
688	142	64
689	142	63
690	142	63
691	142	63
692	142	63
693	143	63
694	143	62
695	143	62
696	143	62
697	143	62
698	144	62
699	144	61
700	144	61
701	144	61
702	144	61
703	145	61
704	145	60
705	145	60
706	145	60
707	145	60
708	146	60
709	146	59
710	147	59
711	147	59
712	147	59
713	147	59
